p_id,Block,Rotation,Emphasis,initerrors_mean,initerrorsdegrees_mean
31,7,Gradual,Accuracy,0.3609155341182755,20.678936865687053
31,8,Gradual,Accuracy,0.2566223597641567,14.703378143174012
31,9,Gradual,Accuracy,0.35481584454630427,20.329450396873142
31,10,Gradual,Accuracy,0.35053075238233167,20.083932701052934
31,11,Gradual,Accuracy,-0.8440178786943966,-48.35866228277361
32,0,Sudden,Speed,0.09767893702415331,5.596590838808142
32,1,Sudden,Speed,1.4279706762337834,81.81669301663791
32,2,Sudden,Speed,1.5456389032718798,88.558585808708
32,3,Sudden,Speed,1.1877666096136836,68.05401377742695
32,4,Sudden,Speed,1.2264788093261214,70.27205943661718
32,5,Sudden,Speed,1.198540803960467,68.67132964115135
32,6,Sudden,Speed,1.1758627586054895,67.37197335470488
32,7,Sudden,Speed,0.9999818520713534,57.29473971336397
32,8,Sudden,Speed,1.1154119607739859,63.90839777076112
32,9,Sudden,Speed,1.0241705387216633,58.680649370391166
32,10,Sudden,Speed,1.1353387036295544,65.05011603582767
32,11,Sudden,Speed,-0.6656599677260958,-38.13950674151988
33,0,Sudden,Accuracy,0.1116713288481214,6.398295835614873
33,1,Sudden,Accuracy,1.1203987310226056,64.19411865940845
33,2,Sudden,Accuracy,0.8941295717000456,51.22985079625254
33,3,Sudden,Accuracy,0.8507308131952389,48.74328509781963
33,4,Sudden,Accuracy,0.5647271652285367,32.356483143982246
33,5,Sudden,Accuracy,0.64642383824458,37.03735770806185
33,6,Sudden,Accuracy,0.4635992612858473,26.562281057061746
33,7,Sudden,Accuracy,0.44363694485771715,25.41852457642522
33,8,Sudden,Accuracy,0.38091309861810124,21.82471291206771
33,9,Sudden,Accuracy,0.41543177805117265,23.80248755794774
33,10,Sudden,Accuracy,0.36062500474336623,20.66229075868018
33,11,Sudden,Accuracy,-0.640979567779856,-36.72542398790544
34,0,Gradual,Speed,0.13419178905660728,7.688623158253424
34,1,Gradual,Speed,0.11702890751199069,6.7052624814639215
34,2,Gradual,Speed,0.10841384214230622,6.211655595551689
34,3,Gradual,Speed,0.11216287408068468,6.4264593028805255
34,4,Gradual,Speed,0.11439190522733914,6.5541733799870325
34,5,Gradual,Speed,0.14751148555734026,8.451785552140596
34,6,Gradual,Speed,0.17555051112919481,10.058303379067251
34,7,Gradual,Speed,0.24744975265812083,14.177826468866447
34,8,Gradual,Speed,0.41263908123628196,23.642477816994877
34,9,Gradual,Speed,0.5050600470422206,28.937809096198063
34,10,Gradual,Speed,0.5243085085241123,30.04066470123058
34,11,Gradual,Speed,-0.48262556771064863,-27.65240811492551
35,0,Gradual,Accuracy,0.10594835856723636,6.070393792241361
35,1,Gradual,Accuracy,0.09841829507802208,5.638952934843829
35,2,Gradual,Accuracy,0.07689594592279661,4.405813163042456
35,3,Gradual,Accuracy,0.07493896438004541,4.293686380057812
35,4,Gradual,Accuracy,0.10240677707934842,5.86747612018372
35,5,Gradual,Accuracy,0.15368671499319358,8.805600136339944
35,6,Gradual,Accuracy,0.12239535711672712,7.012737394784969
35,7,Gradual,Accuracy,0.20490812021380028,11.740370476210067
35,8,Gradual,Accuracy,0.2642497537776596,15.140395628831076
35,9,Gradual,Accuracy,0.32512711507265313,18.628411498927278
35,10,Gradual,Accuracy,0.3253490400345366,18.641126862611802
35,11,Gradual,Accuracy,-0.45365107386603737,-25.9922919041015
36,0,Sudden,Speed,0.09713356415065989,5.565343274896047
36,1,Sudden,Speed,1.2542142279720863,71.86118186805943
36,2,Sudden,Speed,0.9164349378401238,52.50785413657303
36,3,Sudden,Speed,1.097507436190224,62.882544077923335
36,4,Sudden,Speed,0.46538411006396513,26.664545359116985
36,5,Sudden,Speed,0.12502485127216925,7.163396312146119
36,6,Sudden,Speed,0.1749467843178687,10.023712380799372
36,7,Sudden,Speed,0.10885154965091821,6.236734388456343
36,8,Sudden,Speed,0.131243704256068,7.5197103415358555
